docket,case_name,date_decided,pdf_url,local_filename,author,vote_summary
24-809,Goldey v. Fields,6/30/25,https://www.supremecourt.gov/opinions/24pdf/606us2r67_8nka.pdf,24-809_Goldey_v._Fields.pdf,PC,"Alito: majority, Barrett: majority, Breyer: majority, Ginsburg: majority, Gorsuch: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Kennedy: majority, O'Connor: majority, Roberts: majority, Scalia: majority, Sotomayor: majority, Souter: majority, Stevens: majority, Thomas: majority"
24A884,"Trump v. CASA, Inc.",6/27/25,https://www.supremecourt.gov/opinions/24pdf/606us2r66_j426.pdf,"24A884_Trump_v._CASA,_Inc..pdf",AB,"Alito: majority, Barrett: majority, Gorsuch: majority, Kavanaugh: majority, Roberts: majority, Thomas: majority"
24-316,"Kennedy v. Braidwood Management, Inc.",6/27/25,https://www.supremecourt.gov/opinions/24pdf/606us2r65_3314.pdf,24-316_Kennedy_v._Braidwood_Managemen.pdf,BK,"Alito: majority, Barrett: majority, Gorsuch: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Roberts: majority, Sotomayor: majority, Thomas: majority"
23-1122,"Free Speech Coalition, Inc. v. Paxton",6/27/25,https://www.supremecourt.gov/opinions/24pdf/606us2r62_986b.pdf,"23-1122_Free_Speech_Coalition,_Inc._v..pdf",T,"Alito: majority, Barrett: majority, Gorsuch: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Roberts: majority, Sotomayor: majority, Thomas: majority"
23-1002,Hewitt v. United States,6/26/25,https://www.supremecourt.gov/opinions/24pdf/606us1r61_c0n2.pdf,23-1002_Hewitt_v._United_States.pdf,KJ,"Alito: majority, Barrett: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Roberts: majority, Sotomayor: majority, Thomas: majority"
23-1275,Medina v. Planned Parenthood South Atlantic,6/26/25,https://www.supremecourt.gov/opinions/24pdf/606us1r60_h3ci.pdf,23-1275_Medina_v._Planned_Parenthood_S.pdf,NG,"Alito: majority, Barrett: majority, Gorsuch: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Roberts: majority, Sotomayor: majority, Thomas: majority"
23-7809,Gutierrez v. Saenz,6/26/25,https://www.supremecourt.gov/opinions/24pdf/606us1r59_g31h.pdf,23-7809_Gutierrez_v._Saenz.pdf,SS,"Alito: majority, Barrett: majority, Gorsuch: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Roberts: majority, Sotomayor: majority, Thomas: majority"
23-1270,Riley v. Bondi,6/26/25,https://www.supremecourt.gov/opinions/24pdf/606us1r58_5h25.pdf,23-1270_Riley_v._Bondi.pdf,A,"Alito: majority, Barrett: majority, Gorsuch: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Roberts: majority, Thomas: majority"
23-1187,FDA v. R. J. Reynolds Vapor Co.,6/20/25,https://www.supremecourt.gov/opinions/24pdf/606us1r57_n6io.pdf,23-1187_FDA_v._R._J._Reynolds_Vapor_Co.pdf,AB,"Alito: majority, Barrett: majority, Gorsuch: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Roberts: majority, Sotomayor: majority, Thomas: majority"
23-7483,Esteras v. United States,6/20/25,https://www.supremecourt.gov/opinions/24pdf/606us1r56_bq7d.pdf,23-7483_Esteras_v._United_States.pdf,AB,"Alito: majority, Barrett: majority, Gorsuch: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Roberts: majority, Sotomayor: majority, Thomas: majority"
23-1226,"McLaughlin Chiropractic Associates, Inc. v. McKesson Corp.",6/20/25,https://www.supremecourt.gov/opinions/24pdf/606us1r55_3d9g.pdf,23-1226_McLaughlin_Chiropractic_Associ.pdf,BK,"Alito: majority, Barrett: majority, Gorsuch: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Roberts: majority, Sotomayor: majority, Thomas: majority"
24-7,"Diamond Alternative Energy, LLC v. EPA",6/20/25,https://www.supremecourt.gov/opinions/24pdf/606us1r54_j4ek.pdf,"24-7_Diamond_Alternative_Energy,_LL.pdf",BK,"Alito: majority, Barrett: majority, Gorsuch: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Roberts: majority, Sotomayor: majority, Thomas: majority"
23-997,Stanley v. City of Sanford,6/20/25,https://www.supremecourt.gov/opinions/24pdf/606us1r53_5i36.pdf,23-997_Stanley_v._City_of_Sanford.pdf,NG,"Alito: majority, Barrett: majority, Ginsburg: majority, Gorsuch: majority, Jackson: majority, Kagan: majority, Roberts: majority, Sotomayor: majority, Thomas: majority"
24-20,Fuld v. Palestine Liberation Organization,6/20/25,https://www.supremecourt.gov/opinions/24pdf/606us1r52_3eah.pdf,24-20_Fuld_v._Palestine_Liberation_O.pdf,R,"Alito: majority, Barrett: majority, Gorsuch: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Roberts: majority, Sotomayor: majority, Thomas: majority"
23-1300,NRC v. Texas,6/18/25,https://www.supremecourt.gov/opinions/24pdf/605us2r51_4f57.pdf,23-1300_NRC_v._Texas.pdf,BK,"Alito: majority, Barrett: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Roberts: majority, Sotomayor: majority, Thomas: majority"
23-1229,"EPA v. Calumet Shreveport Refining, L.L.C.",6/18/25,https://www.supremecourt.gov/opinions/24pdf/605us2r50_g2hk.pdf,23-1229_EPA_v._Calumet_Shreveport_Refi.pdf,T,"Alito: majority, Barrett: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Roberts: majority, Thomas: majority"
23-1067,Oklahoma v. EPA,6/18/25,https://www.supremecourt.gov/opinions/24pdf/605us2r49_pok0.pdf,23-1067_Oklahoma_v._EPA.pdf,T,"Alito: majority, Barrett: majority, Gorsuch: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Roberts: majority, Sotomayor: majority, Thomas: majority"
23-477,United States v. Skrmetti,6/18/25,https://www.supremecourt.gov/opinions/24pdf/605us2r48_m648.pdf,23-477_United_States_v._Skrmetti.pdf,R,"Alito: majority, Barrett: majority, Breyer: majority, Ginsburg: majority, Gorsuch: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Kennedy: majority, O'Connor: majority, Roberts: majority, Scalia: majority, Sotomayor: majority, Souter: majority, Stevens: majority, Thomas: majority"
23-1324,Perttu v. Richards,6/18/25,https://www.supremecourt.gov/opinions/24pdf/605us2r47_bqm2.pdf,23-1324_Perttu_v._Richards.pdf,R,"Alito: majority, Barrett: majority, Gorsuch: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Kennedy: majority, Roberts: majority, Sotomayor: majority, Thomas: majority"
23-1345,Rivers v. Guerrero,6/12/25,https://www.supremecourt.gov/opinions/24pdf/605us2r46_kjfm.pdf,23-1345_Rivers_v._Guerrero.pdf,KJ,"Jackson: majority, Kagan: majority"
24-416,Commissioner v. Zuch,6/12/25,https://www.supremecourt.gov/opinions/24pdf/605us2r45_3f14.pdf,24-416_Commissioner_v._Zuch.pdf,AB,"Alito: majority, Barrett: majority, Breyer: majority, Ginsburg: majority, Gorsuch: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Kennedy: majority, O'Connor: majority, Roberts: majority, Scalia: majority, Sotomayor: majority, Souter: majority, Stevens: majority, Thomas: majority"
24-362,Martin v. United States,6/12/25,https://www.supremecourt.gov/opinions/24pdf/605us2r44_4f57.pdf,24-362_Martin_v._United_States.pdf,NG,"Gorsuch: majority, Jackson: majority"
24-275,Parrish v. United States,6/12/25,https://www.supremecourt.gov/opinions/24pdf/605us2r43_e29g.pdf,24-275_Parrish_v._United_States.pdf,SS,"Alito: majority, Barrett: majority, Gorsuch: majority, Kagan: majority, Kavanaugh: majority, Roberts: majority, Sotomayor: majority, Thomas: majority"
24-320,Soto v. United States,6/12/25,https://www.supremecourt.gov/opinions/24pdf/605us2r42_k5fl.pdf,24-320_Soto_v._United_States.pdf,T,Thomas: majority
24-249,"A. J. T. v. Osseo Area Schools, Independent School Dist. No. 279",6/12/25,https://www.supremecourt.gov/opinions/24pdf/605us2r41_bp7c.pdf,24-249_A._J._T._v._Osseo_Area_Schools.pdf,R,"Jackson: majority, Kavanaugh: majority, Roberts: majority, Sotomayor: majority, Thomas: majority"
24-304,Laboratory Corp. of America Holdings v. Davis,6/05/25,https://www.supremecourt.gov/opinions/24pdf/605us1r40_f1gk.pdf,24-304_Laboratory_Corp._of_America_Ho.pdf,PC,"Alito: majority, Barrett: majority, Breyer: majority, Ginsburg: majority, Gorsuch: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Kennedy: majority, O'Connor: majority, Roberts: majority, Scalia: majority, Sotomayor: majority, Souter: majority, Stevens: majority, Thomas: majority"
23-1039,Ames v. Ohio Department of Youth Services,6/05/25,https://www.supremecourt.gov/opinions/24pdf/605us1r39_kkg1.pdf,23-1039_Ames_v._Ohio_Department_of_You.pdf,KJ,"Gorsuch: majority, Jackson: majority, Roberts: majority, Thomas: majority"
23-1141,"Smith & Wesson Brands, Inc. v. Estados Unidos Mexicanos",6/05/25,https://www.supremecourt.gov/opinions/24pdf/605us1r38_j426.pdf,"23-1141_Smith_&_Wesson_Brands,_Inc._v..pdf",EK,"Jackson: majority, Kagan: majority, Thomas: majority"
24-154,"Catholic Charities Bureau, Inc. v. Wisconsin Labor and Industry Review Comm’n.",6/05/25,https://www.supremecourt.gov/opinions/24pdf/605us1r37_986b.pdf,"24-154_Catholic_Charities_Bureau,_Inc.pdf",SS,"Jackson: majority, Sotomayor: majority, Thomas: majority"
23-1259,BLOM Bank SAL v. Honickman,6/05/25,https://www.supremecourt.gov/opinions/24pdf/605us1r35_4f14.pdf,23-1259_BLOM_Bank_SAL_v._Honickman.pdf,T,"Alito: majority, Barrett: majority, Gorsuch: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Roberts: majority, Sotomayor: majority, Thomas: majority"
23-975,Seven County Infrastructure Coalition v. Eagle County,5/29/25,https://www.supremecourt.gov/opinions/24pdf/605us1r34_h3ci.pdf,23-975_Seven_County_Infrastructure_Co.pdf,BK,"Alito: majority, Barrett: majority, Gorsuch: majority, Jackson: majority, Kagan: majority, Kavanaugh: majority, Roberts: majority, Sotomayor: majority, Thomas: majority"
